scientificName,count
Apis mellifera,11797
Apis cerana,318
Apis mellifera mellifera,10
Apis mellifera ligustica,93
Bombus terrestris,705
Apis andreniformis,54
Apis florea,42
Apis koschevnikovi,16
Apis laboriosa,16
Apis nigrocincta,19
Apis dorsata,64
Apis nuluensis,16
Melipona beecheii,16
Meliponula bocandei,16
Bombus waltoni,142
Melissodes sp.,2
Bombus modestus,1
Bombus lepidus,6
Bombus vestalis,1
Bombus pyrosoma,5
Bombus trifasciatus,4
Bombus flavescens,6
Bombus pascuorum,165
Bombus pratorum,2
Apis cerana japonica,38
Xylocopa appendiculata circumvolans,6
Halictus ligatus,3
Bombus ardens ardens,10
Lasioglossum pilosum,1
Osmia lignaria,48
Megachile parallela,1
Megachile brevis,2
Osmia subfasciata,4
Osmia chalybea,11
Apoidea,61
Apis mellifera carnica,282
Sceliphron caementarium,1
Ceratina calcarata,260
Scaptotrigona depilis,2
Geniotrigona thoracica,16
Heterotrigona itama,33
Tetragonula fuscobalteata,26
Sundatrigona moorei,13
Tetragonula sirindhornae,3
Bombus pensylvanicus,15
Bombus bifarius,34
Trigona spinipes,17
Trigona hyalinata,22
Paratrigona lineata,13
Centris atripes,22
Partamona epiphytophila,5
Plebeia droryana,9
Anthophora abrupta,6
Tetragonula hockingsi,3
Austroplebeia symei,8
Tetragonula carbonaria,6
Bombus appositus,25
Bombus nevadensis,11
Bombus fervidus,12
Bombus flavifrons,4
Bombus frigidus,2
Bombus rufocinctus,4
Bombus occidentalis,4
Bombus mixtus,6
Bombus bimaculatus,14
Bombus impatiens,707
Bombus sylvicola,6
Bombus balteatus,1
Nomada leucophthalma,2
Nomada flava,2
Nomada panzeri,2
Nomada ferruginata,2
Lasioglossum creberrimum,13
Megachile mendica,7
Xylocopa virginica,2
Lasioglossum reticulatum,19
Lasioglossum trigeminum,3
Melitoma taurea,2
Lasioglossum longifrons,3
Augochloropsis metallica,14
Bombus fraternus,3
Melissodes communis,4
Lasioglossum imitatum,12
Agapostemon splendens,8
Halictus poeyi,8
Lasioglossum vierecki,2
Lasioglossum puteulanum,2
Augochlorella aurata,6
Augochlorella persimilis,1
Lasioglossum pectorale,2
Ptilothrix bombiformis,1
Megachile texana,2
Megachile pseudobrevis,2
Lasioglossum nymphale,1
Megachile petulans,1
Bombus sandersoni,1
Xylocopa micans,1
Osmia ribifloris,48
Melipona quadrifasciata,3
Melipona colimana,2
Nomia melanderi,96
Tetragonisca angustula,31
Lepidotrigona terminata,9
Lepidotrigona ventralis,8
Tetragonula pagdeni,26
Tetragonula,6
Apis,68
Bombus bohemicus,8
Philanthus triangulum,4
Lasioglossum leucozonium,17
Lasioglossum laticeps,10
Lasioglossum malachurum,22
Lasioglossum nigripes,10
Lasioglossum pauxillum,11
Halictus maculatus,11
Halictus scabiosae,10
Lasioglossum limbellum,3
Seladonia tumulorum,5
Halictus fulvipes,2
Lasioglossum morio,2
Lasioglossum albipes,177
Lasioglossum fulvicorne,1
Lasioglossum lativentre,2
Lasioglossum villosulum,6
Lasioglossum interruptum,2
Lasioglossum laevigatum,2
Lasioglossum calceatum,13
Lasioglossum mediterraneum,1
Lasioglossum marginatum,2
Sphecodes geoffrellus,1
Sphecodes,5
Halictus pollinosus,2
Halictus crenicornis,1
Lasioglossum zonulum,1
Halictus rubicundus,2
Augochlora pura,1
Lasioglossum figueresi,1
Lasioglossum zephyrum,1
Tetragonula iridipennis,1
Megalopta genalis,1
Megachile rotundata,211
Prosopis,1
Osmia bicornis,169
Osmia cornuta,51
Apis mellifera syriaca,1
Apis mellifera intermissa,1
Ceratina australensis,257
Osmia excavata,5
Meliponini,129
Trigona fulviventris,12
Partamona orizabaensis,14
Trigona necrophaga,21
Oxytrigona mellicolor,1
Partamona musarum,26
Trigona silvestriana,7
Melipona costaricaensis,1
Trigona corvina,8
Melipona panamica,3
Osmia leaiana,3
Heriades truncorum,18
Halictidae,7
Bombus lapidarius,1
Chelostoma florisomne,31
Osmia caerulescens,40
Bombus hypnorum,1
Megachile versicolor,14
Seladonia tripartita,4
Partamona helleri,15
Melissodes desponsa,67
